Rank,Country,Continent,Region,Population_2018,Population_2019,Change
173,Maldives,Asia,Southern Asia,515696,530953,3
174,Guadeloupe,Americas,Caribbean,446928,447905,0.2
175,Malta,Europe,Southern Europe,439248,440372,0.3
176,Brunei,Asia,South-eastern Asia,428963,433285,1
177,Belize,Americas,Central America,383071,390353,1.9
178,Bahamas,Americas,Caribbean,385637,389482,1
179,Martinique,Americas,Caribbean,375673,375554,0
180,Iceland,Europe,Northern Europe,336713,339031,0.7
181,Vanuatu,Oceania,Melanesia,292680,299882,2.5
182,Barbados,Americas,Caribbean,286641,287025,0.1
183,New Caledonia,Oceania,Melanesia,279993,282750,1
184,French Guiana,Americas,South America,275713,282731,2.5
185,French Polynesia,Oceania,Polynesia,277679,279287,0.6
186,Mayotte,Africa,Eastern Africa,259531,266150,2.6
187,Sao Tome and Principe,Africa,Middle Africa,211028,215056,1.9
188,Samoa,Oceania,Polynesia,196129,197097,0.5
189,Saint Lucia,Americas,Caribbean,181889,182790,0.5
190,Guernsey and  Jersey,Europe,Northern Europe,170499,172259,1
191,Guam,Oceania,Micronesia,165768,167294,0.9
192,Curaçao,Americas,Caribbean,162752,163424,0.4
193,Kiribati,Oceania,Micronesia,115847,117606,1.5
194,Federated States of Micronesia,Oceania,Micronesia,112640,113815,1
195,Grenada,Americas,Caribbean,111454,112003,0.5
196,Tonga,Oceania,Polynesia,110589,110940,0.3
197,Saint Vincent and the Grenadines,Americas,Caribbean,110211,110589,0.3
198,Aruba,Americas,Caribbean,105845,106314,0.4
199,United States Virgin Islands,Americas,Caribbean,104680,104578,-0.1
200,Seychelles,Africa,Eastern Africa,97096,97739,0.7
201,Antigua and Barbuda,Americas,Caribbean,96286,97118,0.9
202,Isle of Man,Europe,Northern Europe,84077,84584,0.6
203,Andorra,Europe,Southern Europe,77006,77142,0.2
204,Dominica,Americas,Caribbean,71625,71808,0.3
205,Cayman Islands,Americas,Caribbean,64174,64948,1.2
206,Bermuda,Americas,Northern America,62756,62506,-0.4
207,Marshall Islands,Oceania,Micronesia,58413,58791,0.6
208,Greenland,Americas,Northern America,56564,56672,0.2
209,Northern Mariana Islands,Oceania,Micronesia,56882,56188,-1.2
210,American Samoa,Oceania,Polynesia,55465,55312,-0.3
211,Saint Kitts and Nevis,Americas,Caribbean,52441,52823,0.7
212,Faroe Islands,Europe,Northern Europe,48497,48678,0.4
213,Sint Maarten,Americas,Caribbean,41940,42388,1.1
214,Monaco,Europe,Western Europe,38682,38964,0.7
215,Turks and Caicos Islands,Americas,Caribbean,37665,38191,1.4
216,Liechtenstein,Europe,Western Europe,37910,38019,0.3
217,San Marino,Europe,Southern Europe,33785,33860,0.2
218,Gibraltar,Europe,Southern Europe,33718,33701,-0.1
219,British Virgin Islands,Americas,Caribbean,29802,30030,0.8
220,Caribbean Netherlands,Americas,Caribbean,25711,25979,1
221,Palau,Oceania,Micronesia,17907,18008,0.6
222,Cook Islands,Oceania,Polynesia,17518,17548,0.2
223,Anguilla,Americas,Caribbean,14731,14869,0.9
224,Tuvalu,Oceania,Polynesia,11508,11646,1.2
225,Wallis and Futuna,Oceania,Polynesia,11661,11432,-2
226,Nauru,Oceania,Micronesia,10670,10756,0.8
227,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,6035,6059,0.4
228,Saint Pierre and Miquelon,Americas,Northern America,5849,5822,-0.5
229,Montserrat,Americas,Caribbean,4993,4989,-0.1
230,Falkland Islands,Americas,South America,3234,3377,4.4
231,Niue,Oceania,Polynesia,1620,1615,-0.3
232,Tokelau,Oceania,Polynesia,1319,1340,1.6
233,Vatican City,Europe,Southern Europe,801,799,-0.2
